Track_num,Section_id,Curve_degree,Curve_direction,Cant,Max_speed,length,Section,Track_id,Start_loc,End_loc,Track_segment
1,990,0.73,1,7,,2045.568,DAR,DAR_1,9120.165,11165.733,14
2,991,0.73,1,7,,2045.569,DAR,DAR_2,9116.659,11162.228,18
1,992,0,,,,517.08,DAR,DAR_1,8603.085,9120.165,13
2,993,0,,,,513.597,DAR,DAR_2,8603.062,9116.659,17
1,994,0.73,1,7,,499.869,DAR,DAR_1,11854.407,12354.276,16
1,995,0,,,,688.674,DAR,DAR_1,11165.733,11854.407,15
2,996,0.73,1,7,,499.869,DAR,DAR_2,11854.106,12353.975,20
2,997,0,,,,691.878,DAR,DAR_2,11162.228,11854.106,19
1,998,0.73,1,7,,336.696,DAR,DAR_1,13028.289,13364.985,18
2,999,0.73,1,7,,336.697,DAR,DAR_2,13027.748,13364.445,22
2,1000,0,,,,673.773,DAR,DAR_2,12353.975,13027.748,21
1,1001,0,,,,674.013,DAR,DAR_1,12354.276,13028.289,17
1,1002,0.73,1,7,,795.849,DAR,DAR_1,14783.658,15579.507,22
1,1003,0.51,1,7,,711.015,DAR,DAR_1,13840.877,14551.892,20
1,1004,0,,,,231.766,DAR,DAR_1,14551.892,14783.658,21
2,1005,0.51,1,7,,711.016,DAR,DAR_2,13840.338,14551.354,24
2,1006,0,,,,475.893,DAR,DAR_2,13364.445,13840.338,23
1,1007,0,,,,475.892,DAR,DAR_1,13364.985,13840.877,19
2,1008,0.73,1,7,,795.254,DAR,DAR_2,14782.064,15577.318,26
2,1009,0,,,,230.71,DAR,DAR_2,14551.354,14782.064,25
